Ganimet	EXP	Kat	Seviye
4.986.916	4.855	40	2497
4.928.079	4.816	40	2424
4.917.491	4.809	40	2411
4.910.140	4.804	40	2402
4.901.953	4.799	40	2392
4.896.210	4.795	40	2385
4.888.811	4.790	40	2376
4.882.220	4.786	40	2368
4.876.442	4.782	40	2361
4.868.998	4.777	40	2352
4.862.367	4.773	40	2344
4.855.722	4.768	40	2336
4.839.050	4.757	40	2316
4.834.031	4.754	40	2310
4.823.971	4.747	40	2298
4.815.563	4.742	40	2288
4.807.133	4.736	40	2278
4.797.834	4.730	40	2267
4.789.358	4.724	40	2257
4.784.261	4.721	40	2251
4.778.304	4.717	40	2244
4.768.921	4.711	40	2233
4.762.080	4.706	40	2225
4.752.649	4.700	40	2214
4.744.050	4.694	40	2204
4.738.018	4.690	40	2197
4.729.380	4.684	40	2187
4.722.452	4.680	40	2179
4.711.162	4.672	40	2166
4.702.450	4.666	40	2156
4.693.713	4.660	40	2146
4.685.829	4.655	40	2137
4.674.406	4.647	40	2124
4.668.238	4.643	40	2117
4.662.058	4.639	40	2110
4.652.321	4.633	40	2099
4.643.442	4.627	40	2089
4.635.430	4.621	40	2080
4.627.396	4.616	40	2071
4.621.134	4.612	40	2064
4.612.165	4.606	40	2054
4.599.565	4.597	40	2040
4.588.723	4.590	40	2028
4.579.659	4.584	40	2018
4.565.100	4.574	40	2002
4.554.135	4.566	40	1990
4.541.292	4.558	40	1976
4.531.163	4.551	40	1965
4.519.148	4.543	40	1952
4.510.802	4.537	40	1943
4.503.364	4.532	40	1935
4.491.237	4.524	40	1922
4.483.750	4.519	40	1914
4.476.245	4.514	40	1906
4.465.893	4.507	40	1895
4.455.506	4.499	40	1884
4.441.282	4.490	40	1869
4.427.945	4.481	40	1855
4.416.465	4.473	40	1843
4.400.124	4.462	40	1826
4.387.567	4.453	40	1813
4.375.928	4.445	40	1801
4.366.193	4.438	40	1791
4.334.819	4.417	40	1759
4.320.986	4.407	40	1745
4.311.064	4.400	40	1735
4.302.105	4.394	40	1726
4.292.117	4.387	40	1716
4.282.095	4.380	40	1706
4.256.883	4.363	40	1681
4.244.702	4.355	40	1669
4.220.180	4.338	40	1645
4.210.929	4.331	40	1636
4.200.615	4.324	40	1626
4.173.617	4.305	40	1600
4.160.020	4.296	40	1587
4.148.462	4.288	40	1576
4.135.798	4.279	40	1564
4.119.886	4.268	40	1549
4.110.294	4.261	40	1540
4.093.159	4.249	40	1524
4.083.473	4.242	40	1515
4.073.752	4.235	40	1506
4.059.650	4.226	40	1493
4.045.473	4.216	40	1480
4.033.419	4.207	40	1469
4.014.683	4.194	40	1452
4.000.267	4.184	40	1439
3.984.654	4.173	40	1425
3.972.322	4.164	40	1414
3.956.543	4.153	40	1400
3.938.393	4.140	40	1384
3.925.842	4.131	40	1373
3.899.403	4.112	40	1350
3.893.620	4.108	40	1345
3.879.687	4.098	40	1333
3.866.849	4.089	40	1322
3.846.882	4.075	40	1305
3.826.758	4.060	40	1288
3.811.261	4.049	40	1275
3.798.074	4.040	40	1264
3.786.027	4.031	40	1254
3.761.757	4.014	40	1234
3.742.170	3.999	40	1218
3.708.765	3.975	40	1191
3.690.010	3.962	40	1176
