Ganimet	EXP	Kat	Seviye
2.651.869	3.495	15	2508
2.650.176	3.494	15	2504
2.648.058	3.492	15	2499
2.645.513	3.490	15	2493
2.643.389	3.488	15	2488
2.640.838	3.485	15	2482
2.638.282	3.483	15	2476
2.635.723	3.481	15	2470
2.633.587	3.479	15	2465
2.631.449	3.477	15	2460
2.630.593	3.476	15	2458
2.628.452	3.474	15	2453
2.626.736	3.473	15	2449
2.625.019	3.471	15	2445
2.622.441	3.469	15	2439
2.621.150	3.468	15	2436
2.619.428	3.466	15	2432
2.616.841	3.464	15	2426
2.613.818	3.461	15	2419
2.612.088	3.460	15	2415
2.608.624	3.457	15	2407
2.607.323	3.456	15	2404
2.604.718	3.453	15	2398
2.602.979	3.452	15	2394
2.600.367	3.449	15	2388
2.597.316	3.447	15	2381
2.595.569	3.445	15	2377
2.592.509	3.442	15	2370
2.589.444	3.440	15	2363
2.586.812	3.437	15	2357
2.585.494	3.436	15	2354
2.582.416	3.433	15	2347
2.581.095	3.432	15	2344
2.578.450	3.430	15	2338
2.575.801	3.427	15	2332
2.574.476	3.426	15	2329
2.571.821	3.424	15	2323
2.569.605	3.422	15	2318
2.566.942	3.419	15	2312
2.563.831	3.417	15	2305
2.562.495	3.415	15	2302
2.559.822	3.413	15	2296
2.557.590	3.411	15	2291
2.554.909	3.408	15	2285
2.552.671	3.406	15	2280
2.549.982	3.404	15	2274
2.547.289	3.402	15	2268
2.544.141	3.399	15	2261
2.540.537	3.396	15	2253
2.537.376	3.393	15	2246
2.534.210	3.390	15	2239
2.532.398	3.388	15	2235
2.529.677	3.386	15	2229
2.526.496	3.383	15	2222
2.524.220	3.381	15	2217
2.520.573	3.377	15	2209
2.519.203	3.376	15	2206
2.516.002	3.373	15	2199
2.512.796	3.370	15	2192
2.511.878	3.370	15	2190
2.507.744	3.366	15	2181
2.504.982	3.363	15	2175
2.503.139	3.362	15	2171
2.500.831	3.360	15	2166
2.498.058	3.357	15	2160
2.494.816	3.354	15	2153
2.492.497	3.352	15	2148
2.488.315	3.348	15	2139
2.485.054	3.345	15	2132
2.482.254	3.343	15	2126
2.479.450	3.340	15	2120
2.476.172	3.337	15	2113
2.472.887	3.334	15	2106
2.470.537	3.332	15	2101
2.467.241	3.329	15	2094
2.465.827	3.328	15	2091
2.462.522	3.325	15	2084
2.459.210	3.322	15	2077
2.457.314	3.320	15	2073
2.453.992	3.317	15	2066
2.450.663	3.314	15	2059
2.449.234	3.313	15	2056
2.443.027	3.307	15	2043
2.439.676	3.304	15	2036
2.436.797	3.301	15	2030
2.433.433	3.298	15	2023
2.431.988	3.297	15	2020
2.428.614	3.294	15	2013
2.424.749	3.290	15	2005
2.422.812	3.288	15	2001
2.419.419	3.285	15	1994
2.415.045	3.281	15	1985
2.412.122	3.279	15	1979
2.408.217	3.275	15	1971
2.402.832	3.270	15	1960
2.400.378	3.268	15	1955
2.396.444	3.264	15	1947
2.392.007	3.260	15	1938
2.388.053	3.257	15	1930
2.386.072	3.255	15	1926
2.381.108	3.250	15	1916
2.377.625	3.247	15	1909
2.374.633	3.244	15	1903
2.371.135	3.241	15	1896
2.367.630	3.238	15	1889
2.362.608	3.233	15	1879
2.359.083	3.230	15	1872
2.354.540	3.226	15	1863
2.350.997	3.222	15	1856
2.346.939	3.219	15	1848
2.341.850	3.214	15	1838
2.338.790	3.211	15	1832
2.333.162	3.206	15	1821
2.330.084	3.203	15	1815
2.327.000	3.200	15	1809
2.323.910	3.197	15	1803
2.319.263	3.193	15	1794
2.314.602	3.189	15	1785
2.311.486	3.186	15	1779
2.306.802	3.181	15	1770
2.305.237	3.180	15	1767
2.302.626	3.177	15	1762
2.298.438	3.174	15	1754
2.296.340	3.172	15	1750
2.294.239	3.170	15	1746
2.290.028	3.166	15	1738
2.285.278	3.161	15	1729
2.280.512	3.157	15	1720
2.275.199	3.152	15	1710
2.273.602	3.150	15	1707
2.268.799	3.146	15	1698
2.265.053	3.142	15	1691
2.261.298	3.139	15	1684
2.256.456	3.134	15	1675
2.250.517	3.129	15	1664
2.247.267	3.126	15	1658
2.244.011	3.123	15	1652
2.241.836	3.121	15	1648
2.237.477	3.116	15	1640
2.232.557	3.112	15	1631
2.226.522	3.106	15	1620
2.223.220	3.103	15	1614
2.221.014	3.101	15	1610
2.218.805	3.099	15	1606
2.212.159	3.093	15	1594
2.209.937	3.091	15	1590
2.204.924	3.086	15	1581
2.202.691	3.084	15	1577
2.197.094	3.078	15	1567
2.192.600	3.074	15	1559
2.188.657	3.070	15	1552
2.183.571	3.066	15	1543
2.179.036	3.061	15	1535
2.173.916	3.056	15	1526
2.169.350	3.052	15	1518
2.164.196	3.047	15	1509
2.159.024	3.042	15	1500
2.150.941	3.035	15	1486
2.148.623	3.032	15	1482
2.142.812	3.027	15	1472
2.137.562	3.022	15	1463
2.132.879	3.017	15	1455
2.127.592	3.012	15	1446
2.124.056	3.009	15	1440
2.118.143	3.003	15	1430
2.111.611	2.997	15	1419
2.105.048	2.991	15	1408
2.102.055	2.988	15	1403
2.096.651	2.983	15	1394
2.091.225	2.977	15	1385
2.085.779	2.972	15	1376
2.079.703	2.966	15	1366
2.077.264	2.964	15	1362
2.072.375	2.959	15	1354
2.067.469	2.955	15	1346
2.061.311	2.949	15	1336
2.054.505	2.942	15	1325
2.048.289	2.936	15	1315
2.043.921	2.932	15	1308
2.039.538	2.928	15	1301
2.033.883	2.922	15	1292
2.026.939	2.915	15	1281
2.018.685	2.907	15	1268
2.011.662	2.900	15	1257
2.005.245	2.894	15	1247
2.002.025	2.891	15	1242
1.992.319	2.882	15	1227
1.989.067	2.878	15	1222
1.981.886	2.871	15	1211
1.971.370	2.861	15	1195
1.964.091	2.854	15	1184
1.960.769	2.851	15	1179
1.953.431	2.844	15	1168
