Ganimet	EXP	Kat	Seviye
1.714.066	2.949	5	2507
1.712.697	2.947	5	2502
1.711.602	2.946	5	2498
1.709.956	2.944	5	2492
1.708.583	2.942	5	2487
1.708.033	2.942	5	2485
1.706.658	2.940	5	2480
1.706.382	2.940	5	2479
1.705.280	2.939	5	2475
1.704.729	2.938	5	2473
1.703.350	2.936	5	2468
1.702.245	2.935	5	2464
1.700.862	2.933	5	2459
1.700.032	2.932	5	2456
1.698.924	2.931	5	2452
1.697.537	2.930	5	2447
1.696.427	2.928	5	2443
1.695.871	2.928	5	2441
1.694.759	2.926	5	2437
1.693.646	2.925	5	2433
1.692.810	2.924	5	2430
1.692.531	2.924	5	2429
1.691.137	2.922	5	2424
1.689.461	2.920	5	2418
1.688.343	2.919	5	2414
1.687.783	2.918	5	2412
1.686.102	2.916	5	2406
1.685.261	2.915	5	2403
1.683.296	2.913	5	2396
1.682.452	2.912	5	2393
1.680.764	2.910	5	2387
1.680.482	2.910	5	2386
1.678.508	2.907	5	2379
1.678.226	2.907	5	2378
1.676.814	2.905	5	2373
1.675.682	2.904	5	2369
1.673.700	2.902	5	2362
1.671.714	2.899	5	2355
1.670.862	2.898	5	2352
1.669.156	2.896	5	2346
1.667.447	2.894	5	2340
1.666.592	2.893	5	2337
1.664.593	2.891	5	2330
1.664.021	2.890	5	2328
1.663.163	2.889	5	2325
1.662.018	2.888	5	2321
1.660.872	2.887	5	2317
1.658.863	2.884	5	2310
1.657.138	2.882	5	2304
1.656.275	2.881	5	2301
1.654.257	2.879	5	2294
1.653.103	2.878	5	2290
1.652.525	2.877	5	2288
1.650.790	2.875	5	2282
1.649.922	2.874	5	2279
1.647.893	2.871	5	2272
1.647.022	2.870	5	2269
1.645.570	2.869	5	2264
1.644.115	2.867	5	2259
1.643.824	2.867	5	2258
1.641.784	2.864	5	2251
1.640.032	2.862	5	2245
1.637.984	2.860	5	2238
1.637.692	2.859	5	2237
1.635.640	2.857	5	2230
1.634.759	2.856	5	2227
1.632.996	2.854	5	2221
1.631.525	2.852	5	2216
1.630.935	2.851	5	2214
1.628.871	2.849	5	2207
1.628.280	2.848	5	2205
1.626.211	2.846	5	2198
1.624.137	2.843	5	2191
1.623.247	2.842	5	2188
1.621.762	2.841	5	2183
1.620.870	2.840	5	2180
1.618.787	2.837	5	2173
1.617.296	2.835	5	2168
1.615.803	2.834	5	2163
1.614.607	2.832	5	2159
1.614.008	2.831	5	2157
1.611.911	2.829	5	2150
1.610.711	2.827	5	2146
1.609.209	2.826	5	2141
1.608.306	2.825	5	2138
1.606.198	2.822	5	2131
1.605.896	2.822	5	2130
1.604.388	2.820	5	2125
1.602.271	2.817	5	2118
1.598.027	2.812	5	2104
1.596.506	2.811	5	2099
1.594.375	2.808	5	2092
1.593.765	2.807	5	2090
1.591.627	2.805	5	2083
1.589.486	2.802	5	2076
1.588.260	2.801	5	2072
1.586.112	2.798	5	2065
1.583.959	2.796	5	2058
1.583.035	2.795	5	2055
1.580.876	2.792	5	2048
1.580.258	2.791	5	2046
1.578.712	2.789	5	2041
1.576.544	2.787	5	2034
1.574.993	2.785	5	2029
1.572.817	2.782	5	2022
1.571.883	2.781	5	2019
1.569.701	2.779	5	2012
1.568.452	2.777	5	2008
1.567.201	2.776	5	2004
1.564.696	2.773	5	1996
1.563.755	2.772	5	1993
1.563.127	2.771	5	1991
1.560.611	2.768	5	1983
1.558.721	2.766	5	1977
1.556.511	2.763	5	1970
1.555.879	2.762	5	1968
1.555.562	2.762	5	1967
1.553.029	2.759	5	1959
1.551.442	2.757	5	1954
1.548.898	2.754	5	1946
1.548.261	2.753	5	1944
1.546.029	2.750	5	1937
1.543.151	2.747	5	1928
1.542.190	2.746	5	1925
1.541.549	2.745	5	1923
1.538.981	2.742	5	1915
1.536.406	2.739	5	1907
1.534.793	2.737	5	1902
1.533.501	2.735	5	1898
1.531.560	2.733	5	1892
1.529.940	2.731	5	1887
1.527.017	2.727	5	1878
1.526.367	2.727	5	1876
1.524.738	2.725	5	1871
1.523.107	2.723	5	1866
1.521.473	2.721	5	1861
1.521.146	2.720	5	1860
1.520.491	2.720	5	1858
1.518.525	2.717	5	1852
1.516.556	2.715	5	1846
1.513.264	2.711	5	1836
1.511.614	2.709	5	1831
1.507.644	2.704	5	1819
1.506.981	2.703	5	1817
1.505.985	2.702	5	1814
1.502.992	2.698	5	1805
1.500.657	2.696	5	1798
1.498.652	2.693	5	1792
1.495.973	2.690	5	1784
1.493.958	2.687	5	1778
1.493.286	2.687	5	1776
1.492.613	2.686	5	1774
1.490.591	2.683	5	1768
1.489.579	2.682	5	1765
1.489.241	2.682	5	1764
1.487.890	2.680	5	1760
1.485.181	2.677	5	1752
1.483.824	2.675	5	1748
1.481.784	2.673	5	1742
1.479.741	2.670	5	1736
1.476.667	2.666	5	1727
1.473.584	2.663	5	1718
1.473.241	2.662	5	1717
1.470.147	2.658	5	1708
1.467.389	2.655	5	1700
1.466.353	2.654	5	1697
1.465.661	2.653	5	1695
1.463.930	2.651	5	1690
1.463.237	2.650	5	1688
1.461.154	2.647	5	1682
1.458.370	2.644	5	1674
1.457.673	2.643	5	1672
1.454.180	2.639	5	1662
1.453.830	2.638	5	1661
1.452.078	2.636	5	1656
1.449.971	2.634	5	1650
1.448.564	2.632	5	1646
1.445.743	2.629	5	1638
1.442.561	2.625	5	1629
1.441.852	2.624	5	1627
1.438.656	2.620	5	1618
1.436.520	2.617	5	1612
1.435.450	2.616	5	1609
1.433.664	2.614	5	1604
1.432.591	2.612	5	1601
1.429.364	2.608	5	1592
1.427.927	2.607	5	1588
1.425.045	2.603	5	1580
1.424.684	2.603	5	1579
1.421.068	2.598	5	1569
1.419.618	2.596	5	1565
1.416.711	2.593	5	1557
1.414.159	2.590	5	1550
1.410.869	2.586	5	1541
1.407.935	2.582	5	1533
1.407.200	2.581	5	1531
1.404.991	2.578	5	1525
1.401.669	2.574	5	1516
1.398.334	2.570	5	1507
1.394.988	2.566	5	1498
1.394.243	2.565	5	1496
1.389.758	2.559	5	1484
1.387.132	2.556	5	1477
1.384.499	2.553	5	1470
1.381.102	2.549	5	1461
1.380.345	2.548	5	1459
1.378.072	2.545	5	1453
1.376.173	2.542	5	1448
1.373.889	2.540	5	1442
1.370.835	2.536	5	1434
1.368.538	2.533	5	1428
1.364.312	2.528	5	1417
1.363.541	2.527	5	1415
1.360.065	2.522	5	1406
1.358.129	2.520	5	1401
1.354.632	2.516	5	1392
1.352.684	2.513	5	1387
1.350.340	2.510	5	1381
1.347.598	2.507	5	1374
1.343.666	2.502	5	1364
1.341.299	2.499	5	1358
1.340.508	2.498	5	1356
1.334.557	2.490	5	1341
1.331.766	2.487	5	1334
1.327.363	2.481	5	1323
1.323.340	2.476	5	1313
1.320.514	2.473	5	1306
1.317.678	2.469	5	1299
1.315.647	2.466	5	1294
1.313.611	2.464	5	1289
1.309.525	2.459	5	1279
1.304.185	2.452	5	1266
1.299.640	2.446	5	1255
1.295.488	2.441	5	1245
1.293.404	2.438	5	1240
1.286.703	2.430	5	1224
1.285.019	2.428	5	1220
1.280.372	2.422	5	1209
1.273.567	2.413	5	1193
1.268.857	2.407	5	1182
1.266.707	2.404	5	1177
1.261.959	2.398	5	1166
1.261.092	2.397	5	1164
