Ganimet	EXP	Kat	Seviye
1.620.069	2.894	4	2506
1.619.034	2.893	4	2502
1.617.998	2.891	4	2498
1.616.443	2.889	4	2492
1.615.145	2.888	4	2487
1.614.625	2.887	4	2485
1.613.325	2.886	4	2480
1.613.064	2.885	4	2479
1.612.023	2.884	4	2475
1.611.502	2.883	4	2473
1.610.198	2.882	4	2468
1.609.153	2.881	4	2464
1.607.846	2.879	4	2459
1.607.061	2.878	4	2456
1.606.014	2.877	4	2452
1.604.703	2.875	4	2447
1.603.653	2.874	4	2443
1.602.865	2.873	4	2440
1.602.077	2.872	4	2437
1.601.024	2.871	4	2433
1.600.234	2.870	4	2430
1.599.971	2.870	4	2429
1.598.653	2.868	4	2424
1.597.069	2.866	4	2418
1.596.011	2.865	4	2414
1.595.482	2.864	4	2412
1.593.894	2.862	4	2406
1.592.833	2.861	4	2402
1.591.241	2.859	4	2396
1.590.443	2.858	4	2393
1.588.847	2.856	4	2387
1.588.314	2.855	4	2385
1.586.715	2.853	4	2379
1.586.448	2.853	4	2378
1.585.113	2.852	4	2373
1.583.776	2.850	4	2368
1.582.170	2.848	4	2362
1.580.292	2.846	4	2355
1.579.487	2.845	4	2352
1.577.874	2.843	4	2346
1.575.989	2.840	4	2339
1.575.450	2.840	4	2337
1.573.561	2.837	4	2330
1.573.020	2.837	4	2328
1.572.209	2.836	4	2325
1.571.127	2.834	4	2321
1.570.043	2.833	4	2317
1.568.144	2.831	4	2310
1.566.513	2.829	4	2304
1.565.697	2.828	4	2301
1.563.790	2.826	4	2294
1.562.699	2.824	4	2290
1.562.153	2.824	4	2288
1.560.513	2.822	4	2282
1.559.692	2.821	4	2279
1.557.774	2.818	4	2272
1.556.951	2.817	4	2269
1.555.578	2.816	4	2264
1.554.202	2.814	4	2259
1.553.927	2.814	4	2258
1.551.998	2.811	4	2251
1.550.342	2.809	4	2245
1.548.407	2.807	4	2238
1.547.853	2.806	4	2236
1.546.191	2.804	4	2230
1.545.358	2.803	4	2227
1.543.413	2.801	4	2220
1.542.300	2.799	4	2216
1.541.744	2.799	4	2214
1.539.792	2.796	4	2207
1.539.234	2.796	4	2205
1.537.277	2.793	4	2198
1.535.317	2.791	4	2191
1.534.476	2.790	4	2188
1.533.072	2.788	4	2183
1.532.229	2.787	4	2180
1.530.259	2.785	4	2173
1.528.850	2.783	4	2168
1.527.438	2.781	4	2163
1.526.025	2.779	4	2158
1.525.742	2.779	4	2157
1.523.760	2.777	4	2150
1.522.625	2.775	4	2146
1.521.205	2.773	4	2141
1.520.352	2.772	4	2138
1.518.359	2.770	4	2131
1.517.789	2.769	4	2129
1.516.648	2.768	4	2125
1.514.647	2.765	4	2118
1.512.643	2.763	4	2111
1.510.634	2.760	4	2104
1.509.197	2.759	4	2099
1.507.182	2.756	4	2092
1.506.317	2.755	4	2089
1.504.296	2.753	4	2082
1.502.271	2.750	4	2075
1.501.402	2.749	4	2072
1.499.371	2.746	4	2065
