Ganimet	EXP	Kat	Seviye
1.338.900	2.730	1	2506
1.338.045	2.729	1	2502
1.336.974	2.727	1	2497
1.335.689	2.726	1	2491
1.334.615	2.724	1	2486
1.334.401	2.724	1	2485
1.333.326	2.722	1	2480
1.333.111	2.722	1	2479
1.332.035	2.721	1	2474
1.331.819	2.720	1	2473
1.330.742	2.719	1	2468
1.329.663	2.717	1	2463
1.328.582	2.716	1	2458
1.328.150	2.715	1	2456
1.327.284	2.714	1	2452
1.326.201	2.712	1	2447
1.325.333	2.711	1	2443
1.324.682	2.710	1	2440
1.324.030	2.709	1	2437
1.323.161	2.708	1	2433
1.322.508	2.707	1	2430
1.322.290	2.707	1	2429
1.321.201	2.706	1	2424
1.319.891	2.704	1	2418
1.318.799	2.702	1	2413
1.318.580	2.702	1	2412
1.317.048	2.700	1	2405
1.316.391	2.699	1	2402
1.315.075	2.697	1	2396
1.314.416	2.696	1	2393
1.312.877	2.694	1	2386
1.312.656	2.694	1	2385
1.311.334	2.692	1	2379
1.311.114	2.692	1	2378
1.310.011	2.690	1	2373
1.308.906	2.689	1	2368
1.307.357	2.686	1	2361
1.306.027	2.685	1	2355
1.305.361	2.684	1	2352
1.303.806	2.681	1	2345
1.302.470	2.680	1	2339
1.301.802	2.679	1	2336
1.300.463	2.677	1	2330
1.299.793	2.676	1	2327
1.299.123	2.675	1	2324
1.298.452	2.674	1	2321
1.297.332	2.672	1	2316
1.295.987	2.671	1	2310
1.294.414	2.668	1	2303
1.293.739	2.667	1	2300
1.292.388	2.666	1	2294
1.291.261	2.664	1	2289
1.291.035	2.664	1	2288
1.289.454	2.661	1	2281
1.288.775	2.661	1	2278
1.287.416	2.659	1	2272
1.286.736	2.658	1	2269
1.285.601	2.656	1	2264
1.284.465	2.655	1	2259
1.284.237	2.654	1	2258
1.282.643	2.652	1	2251
1.281.046	2.650	1	2244
1.279.675	2.648	1	2238
1.279.218	2.647	1	2236
1.277.614	2.645	1	2229
1.277.156	2.644	1	2227
1.275.548	2.642	1	2220
1.274.398	2.640	1	2215
1.274.168	2.640	1	2214
1.272.555	2.638	1	2207
1.271.863	2.637	1	2204
1.270.246	2.635	1	2197
1.268.857	2.633	1	2191
1.268.162	2.632	1	2188
1.266.769	2.630	1	2182
1.266.305	2.629	1	2180
1.264.677	2.627	1	2173
1.264.444	2.627	1	2172
1.263.512	2.625	1	2168
1.262.112	2.623	1	2162
1.261.178	2.622	1	2158
1.260.710	2.621	1	2156
1.259.305	2.619	1	2150
1.258.368	2.618	1	2146
1.256.959	2.616	1	2140
1.256.254	2.615	1	2137
1.254.607	2.613	1	2130
1.254.371	2.612	1	2129
1.253.192	2.611	1	2124
1.251.774	2.609	1	2118
1.250.118	2.606	1	2111
1.248.458	2.604	1	2104
1.247.271	2.602	1	2099
1.245.605	2.600	1	2092
1.244.890	2.599	1	2089
1.243.220	2.597	1	2082
1.241.546	2.594	1	2075
1.240.588	2.593	1	2071
1.238.909	2.591	1	2064
1.237.227	2.588	1	2057
1.234.818	2.585	1	2047
1.234.335	2.584	1	2045
1.233.369	2.583	1	2041
1.231.675	2.580	1	2034
1.230.220	2.578	1	2028
1.228.520	2.576	1	2021
1.227.790	2.575	1	2018
1.226.085	2.572	1	2011
1.225.109	2.571	1	2007
1.224.131	2.570	1	2003
1.222.418	2.567	1	1996
1.221.438	2.566	1	1992
1.220.947	2.565	1	1990
1.219.228	2.563	1	1983
1.217.751	2.561	1	1977
