Ganimet	EXP	Kat	Seviye
4.518.251	4.582	35	2496
4.510.276	4.576	35	2485
4.501.551	4.570	35	2473
4.481.827	4.557	35	2446
4.464.922	4.545	35	2423
4.455.324	4.539	35	2410
4.448.662	4.534	35	2401
4.441.241	4.529	35	2391
4.436.036	4.525	35	2384
4.429.329	4.521	35	2375
4.423.355	4.517	35	2367
4.418.118	4.513	35	2360
4.411.371	4.508	35	2351
4.405.360	4.504	35	2343
4.399.337	4.500	35	2335
4.384.226	4.490	35	2315
4.379.677	4.486	35	2309
4.370.558	4.480	35	2297
4.362.937	4.475	35	2287
4.355.297	4.470	35	2277
4.346.868	4.464	35	2266
4.339.185	4.458	35	2256
4.334.565	4.455	35	2250
4.329.166	4.451	35	2243
4.320.661	4.446	35	2232
4.314.460	4.441	35	2224
4.305.911	4.435	35	2213
4.298.118	4.430	35	2203
4.292.650	4.426	35	2196
4.284.820	4.421	35	2186
4.278.541	4.416	35	2178
4.268.307	4.409	35	2165
4.260.410	4.404	35	2155
4.251.698	4.397	35	2144
4.245.345	4.393	35	2136
4.234.991	4.386	35	2123
4.229.400	4.382	35	2116
4.223.798	4.378	35	2109
4.214.972	4.372	35	2098
4.206.924	4.366	35	2088
4.199.662	4.361	35	2079
4.192.380	4.356	35	2070
4.186.704	4.352	35	2063
4.178.574	4.346	35	2053
4.167.153	4.338	35	2039
4.157.325	4.331	35	2027
4.149.109	4.326	35	2017
4.143.343	4.322	35	2010
4.134.259	4.315	35	1999
4.125.973	4.309	35	1989
4.114.332	4.301	35	1975
4.105.151	4.295	35	1964
4.094.260	4.287	35	1951
4.086.695	4.282	35	1942
4.079.952	4.277	35	1934
4.068.113	4.268	35	1920
4.062.174	4.264	35	1913
4.055.370	4.259	35	1905
4.045.987	4.253	35	1894
4.036.571	4.246	35	1883
4.023.678	4.237	35	1868
4.011.589	4.228	35	1854
4.001.183	4.221	35	1842
3.986.370	4.210	35	1825
3.974.110	4.202	35	1811
3.964.437	4.195	35	1800
3.955.612	4.188	35	1790
3.927.173	4.168	35	1758
3.914.633	4.159	35	1744
3.904.738	4.152	35	1733
3.897.518	4.147	35	1725
3.887.558	4.140	35	1714
3.878.469	4.133	35	1704
3.856.526	4.117	35	1680
3.845.483	4.109	35	1668
3.823.255	4.093	35	1644
3.814.869	4.087	35	1635
3.804.582	4.080	35	1624
3.784.826	4.065	35	1603
3.780.099	4.062	35	1598
3.768.719	4.054	35	1586
3.758.242	4.046	35	1575
3.746.762	4.038	35	1563
3.732.337	4.027	35	1548
3.723.642	4.021	35	1539
3.707.135	4.009	35	1522
3.699.328	4.003	35	1514
3.690.516	3.997	35	1505
3.676.745	3.987	35	1491
3.664.880	3.978	35	1479
3.653.953	3.970	35	1468
3.635.965	3.957	35	1450
3.622.891	3.947	35	1437
3.609.745	3.937	35	1424
3.598.565	3.929	35	1413
3.584.261	3.919	35	1399
3.567.807	3.907	35	1383
3.555.392	3.897	35	1371
3.532.460	3.880	35	1349
3.527.217	3.876	35	1344
3.513.530	3.866	35	1331
3.501.887	3.858	35	1320
3.483.776	3.844	35	1303
3.466.602	3.831	35	1287
3.451.468	3.820	35	1273
3.439.507	3.811	35	1262
3.428.580	3.803	35	1252
3.406.566	3.786	35	1232
3.389.914	3.774	35	1217
3.358.499	3.750	35	1189
3.341.487	3.737	35	1174
