Ganimet	EXP	Kat	Seviye
2.182.756	3.222	10	2507
2.181.362	3.220	10	2503
2.179.618	3.219	10	2498
2.177.522	3.217	10	2492
2.175.774	3.215	10	2487
2.175.424	3.215	10	2486
2.173.672	3.213	10	2481
2.173.322	3.212	10	2480
2.171.568	3.211	10	2475
2.171.217	3.210	10	2474
2.169.461	3.209	10	2469
2.167.702	3.207	10	2464
2.166.294	3.205	10	2460
2.165.237	3.204	10	2457
2.163.826	3.203	10	2453
2.162.061	3.201	10	2448
2.160.647	3.200	10	2444
2.159.586	3.199	10	2441
2.158.524	3.198	10	2438
2.157.107	3.196	10	2434
2.156.043	3.195	10	2431
2.155.688	3.195	10	2430
2.153.913	3.193	10	2425
2.151.779	3.191	10	2419
2.149.999	3.189	10	2414
2.149.643	3.189	10	2413
2.147.146	3.186	10	2406
2.146.075	3.185	10	2403
2.143.930	3.183	10	2397
2.142.856	3.182	10	2394
2.140.348	3.179	10	2387
2.139.989	3.179	10	2386
2.137.835	3.177	10	2380
2.137.476	3.177	10	2379
2.135.677	3.175	10	2374
2.133.877	3.173	10	2369
2.131.714	3.171	10	2363
2.129.185	3.168	10	2356
2.128.101	3.167	10	2353
2.125.928	3.165	10	2347
2.123.390	3.162	10	2340
2.122.300	3.161	10	2337
2.120.119	3.159	10	2331
2.119.027	3.158	10	2328
2.117.935	3.157	10	2325
2.116.841	3.156	10	2322
2.115.382	3.154	10	2318
2.112.824	3.152	10	2311
2.110.262	3.149	10	2304
2.109.162	3.148	10	2301
2.106.961	3.146	10	2295
2.105.123	3.144	10	2290
2.104.756	3.144	10	2289
2.102.179	3.141	10	2282
2.101.073	3.140	10	2279
2.098.858	3.138	10	2273
2.097.750	3.137	10	2270
2.095.900	3.135	10	2265
2.094.049	3.133	10	2260
2.093.678	3.132	10	2259
2.091.080	3.130	10	2252
2.088.478	3.127	10	2245
2.086.244	3.125	10	2239
2.085.498	3.124	10	2237
2.083.259	3.122	10	2231
2.082.138	3.121	10	2228
2.079.519	3.118	10	2221
2.077.645	3.116	10	2216
2.077.270	3.116	10	2215
2.074.641	3.113	10	2208
2.073.513	3.112	10	2205
2.071.254	3.110	10	2199
2.068.615	3.107	10	2192
2.067.482	3.106	10	2189
2.065.591	3.104	10	2184
2.064.456	3.103	10	2181
2.061.803	3.100	10	2174
2.059.905	3.098	10	2169
2.058.004	3.096	10	2164
2.056.101	3.094	10	2159
2.055.720	3.094	10	2158
2.053.050	3.091	10	2151
2.051.522	3.090	10	2147
2.049.610	3.088	10	2142
2.048.078	3.086	10	2138
2.045.777	3.084	10	2132
2.045.009	3.083	10	2130
2.043.472	3.082	10	2126
2.040.778	3.079	10	2119
2.038.079	3.076	10	2112
2.035.374	3.073	10	2105
2.033.439	3.071	10	2100
2.030.725	3.069	10	2093
2.029.560	3.067	10	2090
2.026.838	3.065	10	2083
2.024.111	3.062	10	2076
2.022.940	3.061	10	2073
2.020.205	3.058	10	2066
2.017.465	3.055	10	2059
2.015.896	3.053	10	2055
2.013.146	3.051	10	2048
2.012.753	3.050	10	2047
2.010.785	3.048	10	2042
2.008.025	3.045	10	2035
2.006.050	3.043	10	2030
2.003.280	3.040	10	2023
2.002.091	3.039	10	2020
1.998.916	3.036	10	2012
1.997.723	3.035	10	2009
1.995.733	3.033	10	2004
1.992.942	3.030	10	1997
1.991.344	3.028	10	1993
1.990.944	3.028	10	1992
1.987.742	3.025	10	1984
1.985.335	3.022	10	1978
1.982.522	3.019	10	1971
1.981.717	3.018	10	1969
1.981.314	3.018	10	1968
1.978.089	3.015	10	1960
1.975.664	3.012	10	1954
1.972.830	3.009	10	1947
1.972.019	3.008	10	1945
1.968.771	3.005	10	1937
1.965.514	3.002	10	1929
1.964.291	3.000	10	1926
1.963.475	3.000	10	1924
1.960.205	2.996	10	1916
1.956.927	2.993	10	1908
1.954.464	2.990	10	1902
1.953.230	2.989	10	1899
1.950.759	2.986	10	1893
1.948.696	2.984	10	1888
1.944.975	2.980	10	1879
1.944.147	2.980	10	1877
1.942.074	2.977	10	1872
1.939.997	2.975	10	1867
1.937.917	2.973	10	1862
1.937.084	2.972	10	1860
1.936.668	2.972	10	1859
1.934.165	2.969	10	1853
1.931.657	2.967	10	1847
1.927.467	2.962	10	1837
1.924.947	2.960	10	1831
1.920.313	2.955	10	1820
1.919.468	2.954	10	1818
1.917.778	2.952	10	1814
1.914.390	2.949	10	1806
1.911.419	2.946	10	1799
1.908.866	2.943	10	1793
1.905.455	2.939	10	1785
1.902.462	2.936	10	1778
1.902.034	2.936	10	1777
1.901.178	2.935	10	1775
1.898.604	2.932	10	1769
1.897.316	2.931	10	1766
1.896.456	2.930	10	1764
1.895.165	2.929	10	1761
1.891.717	2.925	10	1753
1.889.989	2.923	10	1749
1.887.393	2.921	10	1743
1.884.791	2.918	10	1737
1.876.954	2.910	10	1719
1.876.517	2.909	10	1718
1.872.579	2.905	10	1709
1.869.068	2.901	10	1701
1.867.749	2.900	10	1698
1.866.868	2.899	10	1696
1.864.224	2.896	10	1690
1.863.782	2.896	10	1689
1.861.131	2.893	10	1683
1.857.144	2.889	10	1674
1.856.700	2.888	10	1673
1.852.253	2.884	10	1663
1.851.361	2.883	10	1661
1.849.577	2.881	10	1657
1.846.895	2.878	10	1651
1.845.104	2.876	10	1647
1.841.514	2.872	10	1639
1.837.462	2.868	10	1630
1.836.560	2.867	10	1628
1.832.492	2.863	10	1619
1.829.773	2.860	10	1613
1.828.410	2.859	10	1610
1.826.137	2.856	10	1605
1.824.771	2.855	10	1602
1.820.663	2.850	10	1593
1.818.833	2.849	10	1589
1.814.706	2.844	10	1580
1.810.103	2.839	10	1570
1.808.257	2.837	10	1566
1.804.556	2.833	10	1558
1.801.308	2.830	10	1551
1.797.120	2.826	10	1542
1.793.385	2.822	10	1534
1.792.449	2.821	10	1532
1.789.638	2.818	10	1526
1.785.408	2.813	10	1517
1.781.164	2.809	10	1508
1.776.904	2.804	10	1499
1.775.955	2.803	10	1497
1.770.247	2.797	10	1485
1.766.905	2.793	10	1478
1.763.553	2.790	10	1471
1.759.229	2.785	10	1462
1.758.266	2.784	10	1460
1.755.372	2.781	10	1454
1.752.955	2.778	10	1449
1.750.048	2.775	10	1443
1.746.160	2.771	10	1435
1.743.236	2.768	10	1429
1.737.856	2.762	10	1418
1.736.875	2.761	10	1416
1.732.451	2.756	10	1407
1.729.986	2.754	10	1402
1.725.535	2.749	10	1393
1.723.055	2.746	10	1388
1.719.574	2.743	10	1381
1.716.581	2.739	10	1375
1.711.577	2.734	10	1365
1.709.569	2.732	10	1361
1.708.564	2.731	10	1359
1.707.557	2.730	10	1357
1.699.982	2.722	10	1342
1.696.430	2.718	10	1335
1.690.825	2.712	10	1324
1.685.705	2.706	10	1314
1.682.107	2.702	10	1307
1.678.497	2.698	10	1300
1.675.912	2.695	10	1295
1.673.321	2.693	10	1290
1.668.120	2.687	10	1280
1.661.323	2.680	10	1267
1.655.538	2.673	10	1256
1.650.253	2.667	10	1246
1.647.601	2.665	10	1241
1.639.071	2.655	10	1225
1.636.928	2.653	10	1221
1.631.013	2.646	10	1210
1.622.352	2.637	10	1194
1.616.357	2.630	10	1183
1.613.621	2.627	10	1178
1.607.577	2.621	10	1167
1.606.474	2.620	10	1165
