Ganimet	EXP	Kat	Seviye
1.432.623	2.785	2	2506
1.431.708	2.783	2	2502
1.430.563	2.782	2	2497
1.429.187	2.780	2	2491
1.428.039	2.779	2	2486
1.427.809	2.778	2	2485
1.426.659	2.777	2	2480
1.426.429	2.776	2	2479
1.425.277	2.775	2	2474
1.425.047	2.775	2	2473
1.423.894	2.773	2	2468
1.422.739	2.772	2	2463
1.421.814	2.770	2	2459
1.421.120	2.769	2	2456
1.420.194	2.768	2	2452
1.419.035	2.767	2	2447
1.418.107	2.766	2	2443
1.417.410	2.765	2	2440
1.416.712	2.764	2	2437
1.415.782	2.762	2	2433
1.415.083	2.762	2	2430
1.414.850	2.761	2	2429
1.413.685	2.760	2	2424
1.412.284	2.758	2	2418
1.411.115	2.756	2	2413
1.410.881	2.756	2	2412
1.409.476	2.754	2	2406
1.408.538	2.753	2	2402
1.407.130	2.751	2	2396
1.406.425	2.750	2	2393
1.404.778	2.748	2	2386
1.404.542	2.748	2	2385
1.403.128	2.746	2	2379
1.402.892	2.745	2	2378
1.401.711	2.744	2	2373
1.400.529	2.742	2	2368
1.399.109	2.740	2	2362
1.397.449	2.738	2	2355
1.396.736	2.737	2	2352
1.395.310	2.735	2	2346
1.393.643	2.733	2	2339
1.392.928	2.732	2	2336
1.391.496	2.730	2	2330
1.390.779	2.729	2	2327
1.390.061	2.728	2	2324
1.389.343	2.728	2	2321
1.388.145	2.726	2	2316
1.386.706	2.724	2	2310
1.385.023	2.722	2	2303
1.384.301	2.721	2	2300
1.382.856	2.719	2	2294
1.381.649	2.717	2	2289
1.381.408	2.717	2	2288
1.379.716	2.715	2	2281
1.378.990	2.714	2	2278
1.377.536	2.712	2	2272
1.376.808	2.711	2	2269
1.375.593	2.709	2	2264
1.374.377	2.708	2	2259
1.374.134	2.707	2	2258
1.372.428	2.705	2	2251
1.370.720	2.703	2	2244
1.369.252	2.701	2	2238
1.368.763	2.700	2	2236
1.367.292	2.698	2	2230
1.366.556	2.697	2	2227
1.364.837	2.695	2	2220
1.363.606	2.693	2	2215
1.363.360	2.693	2	2214
1.361.634	2.691	2	2207
1.360.893	2.690	2	2204
1.359.410	2.688	2	2198
1.357.677	2.685	2	2191
1.356.933	2.684	2	2188
1.355.692	2.683	2	2183
1.354.946	2.682	2	2180
1.353.204	2.679	2	2173
1.352.955	2.679	2	2172
1.351.958	2.678	2	2168
1.350.710	2.676	2	2163
1.349.460	2.674	2	2158
1.349.210	2.674	2	2157
1.347.457	2.672	2	2150
1.346.454	2.670	2	2146
1.345.198	2.669	2	2141
1.344.192	2.667	2	2137
1.342.681	2.665	2	2131
1.342.177	2.665	2	2129
1.341.168	2.663	2	2125
1.339.399	2.661	2	2118
1.337.626	2.659	2	2111
1.335.850	2.656	2	2104
1.334.580	2.654	2	2099
1.332.797	2.652	2	2092
1.332.033	2.651	2	2089
1.330.245	2.649	2	2082
1.328.455	2.646	2	2075
1.327.430	2.645	2	2071
1.325.633	2.642	2	2064
1.324.090	2.640	2	2058
1.323.060	2.639	2	2054
