Ganimet	EXP	Kat	Seviye
3.121.131	3.769	20	2509
3.118.641	3.767	20	2504
3.116.648	3.765	20	2500
3.113.654	3.763	20	2494
3.111.155	3.761	20	2489
3.107.652	3.758	20	2482
3.105.147	3.756	20	2477
3.101.634	3.753	20	2470
3.099.624	3.751	20	2466
3.097.108	3.749	20	2461
3.095.597	3.748	20	2458
3.093.581	3.746	20	2454
3.091.059	3.744	20	2449
3.089.038	3.743	20	2445
3.086.004	3.740	20	2439
3.084.991	3.739	20	2437
3.082.458	3.737	20	2432
3.079.414	3.735	20	2426
3.076.365	3.732	20	2420
3.074.330	3.731	20	2416
3.070.254	3.727	20	2408
3.068.723	3.726	20	2405
3.065.148	3.723	20	2398
3.063.613	3.722	20	2395
3.060.541	3.719	20	2389
3.056.437	3.716	20	2381
3.054.382	3.714	20	2377
3.051.296	3.712	20	2371
3.047.689	3.709	20	2364
3.044.076	3.706	20	2357
3.042.526	3.704	20	2354
3.039.422	3.702	20	2348
3.037.868	3.701	20	2345
3.034.756	3.698	20	2339
3.031.120	3.695	20	2332
3.030.080	3.694	20	2330
3.026.956	3.692	20	2324
3.024.350	3.689	20	2319
3.021.217	3.687	20	2313
3.017.557	3.684	20	2306
3.015.986	3.683	20	2303
3.012.316	3.680	20	2296
3.010.215	3.678	20	2292
3.007.061	3.675	20	2286
3.004.428	3.673	20	2281
3.000.737	3.670	20	2274
2.997.567	3.667	20	2268
2.994.393	3.665	20	2262
2.989.621	3.661	20	2253
2.986.434	3.658	20	2247
2.982.709	3.655	20	2240
2.980.578	3.653	20	2236
2.976.842	3.650	20	2229
2.973.634	3.648	20	2223
2.970.957	3.645	20	2218
2.966.666	3.642	20	2210
2.965.054	3.640	20	2207
2.961.289	3.637	20	2200
2.957.516	3.634	20	2193
2.955.897	3.633	20	2190
2.951.574	3.629	20	2182
2.947.782	3.626	20	2175
2.946.155	3.625	20	2172
2.943.441	3.623	20	2167
2.940.178	3.620	20	2161
2.936.365	3.617	20	2154
2.933.090	3.614	20	2148
2.928.716	3.610	20	2140
2.924.880	3.607	20	2133
2.917.736	3.601	20	2120
2.913.879	3.598	20	2113
2.910.014	3.595	20	2106
2.907.802	3.593	20	2102
2.903.925	3.590	20	2095
2.902.260	3.588	20	2092
2.898.372	3.585	20	2085
2.894.476	3.582	20	2078
2.888.337	3.577	20	2067
2.884.421	3.573	20	2060
2.882.740	3.572	20	2057
2.878.812	3.569	20	2050
2.874.876	3.565	20	2043
2.870.931	3.562	20	2036
2.868.109	3.560	20	2031
2.864.151	3.556	20	2024
2.862.452	3.555	20	2021
2.858.482	3.552	20	2014
2.853.935	3.548	20	2006
2.851.657	3.546	20	2002
2.847.665	3.543	20	1995
2.842.519	3.538	20	1986
2.839.081	3.535	20	1980
2.834.487	3.531	20	1972
2.828.152	3.526	20	1961
2.825.265	3.524	20	1956
2.820.638	3.520	20	1948
2.815.418	3.515	20	1939
2.810.766	3.511	20	1931
2.808.435	3.510	20	1927
2.802.596	3.505	20	1917
2.798.498	3.501	20	1910
2.794.979	3.498	20	1904
2.790.864	3.495	20	1897
2.786.740	3.491	20	1890
2.780.833	3.486	20	1880
2.776.686	3.483	20	1873
2.771.342	3.478	20	1864
2.767.174	3.475	20	1857
2.762.399	3.471	20	1849
2.756.414	3.466	20	1839
2.752.813	3.462	20	1833
2.746.193	3.457	20	1822
2.742.572	3.454	20	1816
2.738.944	3.451	20	1810
2.735.309	3.448	20	1804
2.729.842	3.443	20	1795
2.724.359	3.438	20	1786
2.720.694	3.435	20	1780
2.715.183	3.430	20	1771
2.710.270	3.426	20	1763
2.705.344	3.422	20	1755
2.702.876	3.420	20	1751
2.700.405	3.418	20	1747
2.695.452	3.414	20	1739
2.689.863	3.409	20	1730
2.684.257	3.404	20	1721
2.678.007	3.399	20	1711
2.675.501	3.397	20	1707
2.670.478	3.392	20	1699
2.666.072	3.388	20	1692
2.661.654	3.385	20	1685
2.655.959	3.380	20	1676
2.648.972	3.374	20	1665
2.645.150	3.370	20	1659
2.641.319	3.367	20	1653
2.638.760	3.365	20	1649
2.633.632	3.361	20	1641
2.627.845	3.356	20	1632
2.620.746	3.349	20	1621
2.616.861	3.346	20	1615
2.614.267	3.344	20	1611
2.611.669	3.342	20	1607
2.603.850	3.335	20	1595
2.601.236	3.333	20	1591
2.595.340	3.327	20	1582
2.592.713	3.325	20	1578
2.586.129	3.319	20	1568
2.580.843	3.315	20	1560
2.576.204	3.311	20	1553
2.570.222	3.306	20	1544
2.564.887	3.301	20	1536
2.558.865	3.296	20	1527
2.553.494	3.291	20	1519
2.547.431	3.286	20	1510
2.541.347	3.281	20	1501
2.532.520	3.273	20	1488
2.529.113	3.270	20	1483
