Ganimet	EXP	Kat	Seviye
1.526.346	2.839	3	2506
1.525.371	2.838	3	2502
1.524.395	2.837	3	2498
1.522.685	2.835	3	2491
1.521.462	2.833	3	2486
1.521.217	2.833	3	2485
1.519.992	2.831	3	2480
1.519.747	2.831	3	2479
1.518.520	2.829	3	2474
1.518.274	2.829	3	2473
1.517.046	2.828	3	2468
1.515.815	2.826	3	2463
1.514.830	2.825	3	2459
1.514.091	2.824	3	2456
1.513.104	2.823	3	2452
1.511.869	2.821	3	2447
1.510.880	2.820	3	2443
1.510.138	2.819	3	2440
1.509.395	2.818	3	2437
1.508.403	2.817	3	2433
1.507.659	2.816	3	2430
1.507.411	2.815	3	2429
1.506.169	2.814	3	2424
1.504.676	2.812	3	2418
1.503.431	2.810	3	2413
1.503.182	2.810	3	2412
1.501.685	2.808	3	2406
1.500.686	2.807	3	2402
1.499.185	2.805	3	2396
1.498.434	2.804	3	2393
1.496.930	2.802	3	2387
1.496.428	2.802	3	2385
1.494.921	2.800	3	2379
1.494.670	2.799	3	2378
1.493.412	2.798	3	2373
1.492.153	2.796	3	2368
1.490.639	2.794	3	2362
1.488.871	2.792	3	2355
1.488.112	2.791	3	2352
1.486.592	2.789	3	2346
1.484.816	2.787	3	2339
1.484.308	2.786	3	2337
1.482.528	2.784	3	2330
1.481.764	2.783	3	2327
1.481.000	2.782	3	2324
1.480.235	2.781	3	2321
1.479.214	2.780	3	2317
1.477.425	2.777	3	2310
1.475.889	2.775	3	2304
1.475.120	2.775	3	2301
1.473.323	2.772	3	2294
1.472.038	2.771	3	2289
1.471.780	2.770	3	2288
1.469.977	2.768	3	2281
1.469.204	2.767	3	2278
1.467.655	2.765	3	2272
1.466.879	2.764	3	2269
1.465.585	2.762	3	2264
1.464.290	2.761	3	2259
1.464.031	2.760	3	2258
1.462.213	2.758	3	2251
1.460.653	2.756	3	2245
1.458.830	2.754	3	2238
1.458.308	2.753	3	2236
1.456.742	2.751	3	2230
1.455.957	2.750	3	2227
1.454.125	2.748	3	2220
1.452.814	2.746	3	2215
1.452.552	2.746	3	2214
1.450.713	2.743	3	2207
1.449.924	2.742	3	2204
1.448.344	2.740	3	2198
1.446.497	2.738	3	2191
1.445.704	2.737	3	2188
1.444.382	2.735	3	2183
1.443.588	2.734	3	2180
1.441.732	2.732	3	2173
1.440.404	2.730	3	2168
1.439.074	2.729	3	2163
1.437.743	2.727	3	2158
1.437.476	2.727	3	2157
1.435.608	2.724	3	2150
1.434.539	2.723	3	2146
1.433.201	2.721	3	2141
1.432.130	2.720	3	2137
1.430.520	2.718	3	2131
1.429.983	2.717	3	2129
1.428.908	2.716	3	2125
1.427.023	2.713	3	2118
1.425.135	2.711	3	2111
1.423.242	2.708	3	2104
1.421.888	2.707	3	2099
1.419.990	2.704	3	2092
1.419.175	2.703	3	2089
1.417.271	2.701	3	2082
1.415.363	2.698	3	2075
1.414.544	2.697	3	2072
1.412.631	2.695	3	2065
1.410.713	2.692	3	2058
1.409.616	2.691	3	2054
1.407.692	2.688	3	2047
1.407.417	2.688	3	2046
1.406.040	2.686	3	2041
1.404.109	2.684	3	2034
1.402.728	2.682	3	2029
1.400.790	2.679	3	2022
1.399.958	2.678	3	2019
1.397.737	2.675	3	2011
1.396.902	2.674	3	2008
1.395.510	2.673	3	2003
1.393.557	2.670	3	1996
1.392.439	2.669	3	1992
1.392.160	2.668	3	1991
1.389.919	2.665	3	1983
1.388.236	2.663	3	1977
1.386.268	2.661	3	1970
1.385.704	2.660	3	1968
1.385.423	2.659	3	1967
1.383.166	2.657	3	1959
1.381.470	2.654	3	1953
1.379.487	2.652	3	1946
1.378.920	2.651	3	1944
1.376.647	2.648	3	1936
1.374.369	2.645	3	1928
1.373.513	2.644	3	1925
1.372.942	2.643	3	1923
1.370.655	2.640	3	1915
1.368.361	2.637	3	1907
1.366.638	2.635	3	1901
1.365.775	2.634	3	1898
1.364.046	2.632	3	1892
1.362.603	2.630	3	1887
1.360.000	2.626	3	1878
1.359.420	2.626	3	1876
1.357.970	2.624	3	1871
1.356.517	2.622	3	1866
1.355.062	2.620	3	1861
1.354.479	2.619	3	1859
1.354.188	2.619	3	1858
1.352.437	2.617	3	1852
1.350.682	2.614	3	1846
1.347.751	2.610	3	1836
1.345.987	2.608	3	1830
1.342.745	2.604	3	1819
1.342.155	2.603	3	1817
1.340.972	2.602	3	1813
1.338.602	2.598	3	1805
1.336.523	2.596	3	1798
1.334.737	2.593	3	1792
1.332.351	2.590	3	1784
1.330.257	2.587	3	1777
1.329.658	2.587	3	1775
1.329.358	2.586	3	1774
1.327.558	2.584	3	1768
1.326.656	2.583	3	1765
1.326.055	2.582	3	1763
1.325.152	2.581	3	1760
1.322.739	2.578	3	1752
1.321.530	2.576	3	1748
1.319.411	2.573	3	1741
1.317.894	2.571	3	1736
1.315.157	2.568	3	1727
1.312.411	2.564	3	1718
1.312.105	2.564	3	1717
1.309.350	2.560	3	1708
1.306.893	2.557	3	1700
1.305.662	2.555	3	1696
1.305.354	2.555	3	1695
1.303.504	2.552	3	1689
1.303.195	2.552	3	1688
1.301.341	2.549	3	1682
1.298.551	2.546	3	1673
1.298.240	2.545	3	1672
1.295.129	2.541	3	1662
1.294.505	2.540	3	1660
1.293.257	2.539	3	1656
1.291.380	2.536	3	1650
1.290.127	2.535	3	1646
1.287.615	2.531	3	1638
1.284.781	2.527	3	1629
1.284.149	2.527	3	1627
1.281.303	2.523	3	1618
1.279.401	2.520	3	1612
1.278.130	2.519	3	1608
1.276.857	2.517	3	1604
1.275.582	2.515	3	1600
1.273.027	2.512	3	1592
1.271.747	2.510	3	1588
1.268.859	2.506	3	1579
1.268.538	2.506	3	1578
1.265.639	2.502	3	1569
1.264.347	2.500	3	1565
1.261.434	2.496	3	1556
1.259.486	2.494	3	1550
1.256.555	2.490	3	1541
1.253.615	2.486	3	1532
1.252.960	2.485	3	1530
1.250.992	2.482	3	1524
1.248.032	2.478	3	1515
1.245.391	2.475	3	1507
1.242.411	2.471	3	1498
1.241.747	2.470	3	1496
1.237.753	2.465	3	1484
1.235.080	2.461	3	1476
1.233.069	2.458	3	1470
1.230.044	2.454	3	1461
1.229.370	2.453	3	1459
1.227.007	2.450	3	1452
1.225.654	2.448	3	1448
1.223.281	2.445	3	1441
1.220.900	2.442	3	1434
1.218.854	2.439	3	1428
1.215.090	2.434	3	1417
1.214.404	2.433	3	1415
1.210.964	2.428	3	1405
1.209.583	2.427	3	1401
1.206.469	2.422	3	1392
1.204.734	2.420	3	1387
1.202.298	2.417	3	1380
1.200.204	2.414	3	1374
1.196.703	2.409	3	1364
1.195.298	2.407	3	1360
1.194.594	2.406	3	1358
1.193.890	2.405	3	1356
1.188.590	2.398	3	1341
1.185.749	2.394	3	1333
1.181.825	2.389	3	1322
1.178.600	2.384	3	1313
1.176.083	2.381	3	1306
1.173.196	2.377	3	1298
1.171.386	2.375	3	1293
1.169.935	2.373	3	1289
1.166.296	2.368	3	1279
1.161.172	2.361	3	1265
1.157.492	2.356	3	1255
1.153.423	2.350	3	1244
1.151.938	2.348	3	1240
1.145.970	2.340	3	1224
1.144.095	2.337	3	1219
1.140.331	2.332	3	1209
1.129.693	2.317	3	1181
1.127.778	2.315	3	1176
1.123.932	2.309	3	1166
1.122.774	2.308	3	1163
