Ganimet	EXP	Kat	Seviye
4.059.457	4.316	30	2510
4.056.868	4.314	30	2506
4.053.628	4.311	30	2501
4.049.736	4.309	30	2495
4.046.487	4.306	30	2490
4.042.584	4.303	30	2484
4.038.676	4.301	30	2478
4.034.761	4.298	30	2472
4.032.148	4.296	30	2468
4.028.879	4.294	30	2463
4.024.295	4.290	30	2456
4.021.016	4.288	30	2451
4.015.761	4.284	30	2443
4.010.495	4.280	30	2435
4.006.540	4.277	30	2429
4.001.917	4.274	30	2422
3.998.610	4.272	30	2417
3.993.974	4.268	30	2410
3.987.337	4.264	30	2400
3.980.683	4.259	30	2390
3.976.015	4.255	30	2383
3.969.333	4.251	30	2373
3.964.645	4.247	30	2366
3.959.949	4.244	30	2359
3.953.899	4.239	30	2350
3.948.510	4.236	30	2342
3.943.109	4.232	30	2334
3.938.374	4.228	30	2327
3.934.309	4.225	30	2321
3.929.559	4.222	30	2314
3.925.480	4.219	30	2308
3.920.032	4.215	30	2300
3.915.938	4.212	30	2294
3.909.101	4.207	30	2284
3.903.618	4.203	30	2276
3.900.186	4.200	30	2271
3.894.684	4.196	30	2263
3.889.171	4.192	30	2255
3.885.029	4.189	30	2249
3.880.187	4.186	30	2242
3.874.643	4.182	30	2234
3.869.087	4.178	30	2226
3.864.912	4.175	30	2220
3.859.335	4.171	30	2212
3.852.347	4.166	30	2202
3.847.443	4.162	30	2195
3.840.423	4.157	30	2185
3.834.792	4.153	30	2177
3.830.561	4.150	30	2171
3.824.201	4.145	30	2162
3.817.825	4.140	30	2153
3.810.722	4.135	30	2143
3.805.026	4.131	30	2135
3.800.745	4.128	30	2129
3.795.741	4.124	30	2122
3.790.728	4.121	30	2115
3.785.704	4.117	30	2108
3.782.829	4.115	30	2104
3.777.790	4.111	30	2097
3.770.574	4.106	30	2087
3.766.958	4.103	30	2082
3.757.532	4.096	30	2069
3.752.441	4.092	30	2062
3.745.151	4.087	30	2052
3.740.036	4.083	30	2045
3.734.910	4.079	30	2038
3.731.242	4.077	30	2033
3.726.097	4.073	30	2026
3.718.730	4.068	30	2016
3.712.080	4.063	30	2007
3.705.413	4.058	30	1998
3.697.984	4.052	30	1988
3.687.545	4.044	30	1974
3.679.311	4.038	30	1963
3.675.560	4.036	30	1958
3.669.546	4.031	30	1950
3.662.762	4.026	30	1941
3.656.716	4.022	30	1933
3.646.099	4.014	30	1919
3.640.773	4.010	30	1912
3.632.380	4.004	30	1901
3.625.491	3.998	30	1892
3.617.814	3.993	30	1882
3.612.426	3.989	30	1875
3.605.480	3.983	30	1866
3.593.859	3.975	30	1851
3.586.080	3.969	30	1841
3.581.400	3.966	30	1835
3.572.797	3.959	30	1824
3.560.228	3.950	30	1808
3.551.548	3.943	30	1797
3.544.422	3.938	30	1788
3.539.660	3.934	30	1782
3.532.498	3.929	30	1773
3.519.712	3.919	30	1757
3.506.856	3.910	30	1741
3.499.593	3.904	30	1732
3.493.119	3.899	30	1724
3.484.186	3.893	30	1713
3.476.036	3.886	30	1703
3.468.676	3.881	30	1694
3.462.936	3.876	30	1687
3.455.534	3.871	30	1678
3.446.455	3.864	30	1667
3.436.510	3.856	30	1655
3.426.521	3.849	30	1643
3.419.001	3.843	30	1634
3.408.095	3.835	30	1621
3.404.728	3.832	30	1617
3.387.821	3.819	30	1597
3.377.615	3.812	30	1585
3.366.506	3.803	30	1572
3.357.924	3.797	30	1562
3.351.896	3.792	30	1555
3.344.123	3.786	30	1546
3.337.190	3.781	30	1538
3.330.236	3.776	30	1530
3.322.386	3.770	30	1521
3.314.509	3.764	30	1512
3.306.603	3.757	30	1503
3.295.133	3.749	30	1490
3.282.713	3.739	30	1476
3.273.799	3.732	30	1466
3.266.641	3.727	30	1458
3.254.959	3.718	30	1445
3.244.120	3.709	30	1433
3.235.045	3.702	30	1423
3.224.105	3.694	30	1411
3.211.271	3.684	30	1397
3.205.747	3.680	30	1391
3.195.583	3.672	30	1380
3.186.300	3.665	30	1370
3.170.425	3.652	30	1353
3.158.205	3.643	30	1340
3.147.809	3.635	30	1329
3.138.314	3.627	30	1319
3.131.641	3.622	30	1312
3.117.270	3.611	30	1297
3.105.701	3.602	30	1285
3.093.095	3.592	30	1272
3.082.368	3.583	30	1261
3.072.567	3.576	30	1251
3.052.823	3.560	30	1231
3.036.889	3.548	30	1215
3.009.712	3.526	30	1188
2.993.432	3.513	30	1172
